4	19
6	29
6	31
0	19
3	20
9	24
0	24
3	17
3	20
7	29
1	27
6	26
4	3
7	14
6	22
8	10
3	17
0	17
0	27
6	21
4	27
3	19
2	20
1	7
7	31
4	27
0	34
0	20
3	10
3	39
0	14
5	30
5	24
3	27
0	42
3	29
7	36
0	31
1	10
3	17
7	24
5	17
6	24
3	18
7	10
7	23
6	35
4	17
1	30
5	28
8	14
3	6
0	34
7	10
7	13
6	10
8	31
0	17
7	19
4	10
4	24
0	15
6	30
9	22
7	39
1	10
7	0
6	31
3	19
6	38
3	16
7	6
0	27
7	28
4	28
2	15
2	14
3	17
4	13
8	11
7	7
3	13
1	7
3	45
3	17
1	26
7	21
7	22
4	27
9	10
1	37
0	20
3	24
0	23
6	34
9	13
7	19
8	32
4	45
3	23
7	9
5	22
8	35
1	28
4	17
1	31
3	14
1	21
0	17
1	37
1	28
0	34
5	7
7	13
0	9
9	10
5	28
9	20
3	32
6	31
5	13
7	20
4	21
3	38
0	13
1	21
8	28
6	19
1	6
3	42
4	17
8	16
6	42
6	23
2	21
7	27
4	34
2	17
7	30
0	27
3	37
1	14
1	27
4	17
0	17
3	42
6	59
7	20
7	34
1	27
3	31
5	17
7	31
6	17
3	20
9	34
0	14
4	8
6	13
6	21
3	28
5	17
0	38
0	10
6	21
0	36
8	25
0	35
4	31
1	41
1	6
8	14
1	17
3	27
6	20
7	21
4	9
7	13
9	16
4	17
0	21
8	24
7	31
0	24
7	34
7	28
0	13
7	30
7	41
6	10
5	10
7	17
0	24
5	7
4	10
0	37
0	6
9	35
4	21
4	22
6	41
3	17
7	7
0	34
1	15
3	16
0	24
8	26
0	24
7	26
4	27
1	20
6	27
4	27
6	27
6	12
9	24
1	3
1	13
3	20
4	19
0	21
7	3
5	15
4	16
3	22
3	14
4	21
9	20
4	18
4	31
0	38
7	19
1	28
8	21
9	29
0	16
9	34
0	37
4	24
0	27
5	40
4	42
0	14
0	27
4	35
7	26
3	28
3	30
6	20
5	21
