"Damdinsürengiin Altangerel (1945–1998), writer
"Altangerel Perle (b. 1945), palaeontologist.
"Asashōryū Akinori (b. 1980), sumo wrestler.
"Tömöriin Artag (1943–1993), wrestler.
"Enkhbatyn Badar-Uugan (b. 1985), boxer.
"Khorloogiin Bayanmönkh (b. 1944), wrestler.
"Namjilyn Bayarsaikhan (b. 1965), boxer.
"Tsendiin Damdin (b. 1957), judoka.
"Chimedbazaryn Damdinsharav (b. 1945), wrestler.
"Ravdangiin Davaadalai (b. 1954), judoka.
"Jamtsyn Davaajav (b. 1953), wrestler.
"Dorjsürengiin Mönkhbayar, female sport-shooter.
"Nergüin Enkhbat (b. 1962), boxer.
"Otryadyn Gündegmaa (b. 1978), female sport-shooter.
"Jigjidiin Mönkhbat (b. 1941), wrestler.
"Dorjpalamyn Narmandakh (b. 1975), judoka.
"Zevegiin Oidov (b. 1949), wrestler.
"Dugarsürengiin Oyuunbold (b. 1957), wrestler.
"Danzandarjaagiin Sereeter (b. 1943), wrestler.
"Pürevdorjiin Serdamba (b. 1985), boxer.
"Khashbaataryn Tsagaanbaatar (b. 1984), judoka.
"Naidangiin Tüvshinbayar (b. 1984), judoka, 2008 Summer Olympics champion
"List of Mongol rulers
"List of Buryats
"List of Oirats
"Lists of Mongolian people
