"Erika Alexander—Philadelphia
"Keith Andes—Philadelphia
"Gerald Anthony—Pittsburgh
"Carmen Argenziano—Sharon
"Malcolm Atterbury—Philadelphia
"Frankie Avalon—Philadelphia
"Val Avery—Philadelphia
"Kevin Bacon—Philadelphia
"Brian Baker—Philadelphia
"Carroll Baker—Johnstown
"Sue Ball—Philadelphia
"Mabel Ballin—Philadelphia
"George Bancroft—Philadelphia
"George Barbier—Philadelphia
"Vince Barnett—Pittsburgh
"Eddie Barry—Philadelphia
"Ethel Barrymore—Philadelphia
"John Barrymore—Philadelphia
"Lionel Barrymore—Philadelphia
"Eddie Barth—Philadelphia
"Jessica Barth—Philadelphia
"Billy Barty—Millsboro
"Blake Bashoff—Philadelphia
"Toni Basil—Philadelphia
"Victory Bateman—Philadelphia
"Henry Bean—Philadelphia
"Billy Beck—Philadelphia
"Laurie Beechman—Philadelphia
"Chris Beetem—Philadelphia
"Beth Behrs—Lancaster
"Willam Belli—Philadelphia
"Maria Bello—Norristown
"Julie Benz—Pittsburgh / Murrysville
"Jeff Bergman—Philadelphia
"Ed Bernard—Philadelphia
"Lyle Bettger—Philadelphia
"Marki Bey—Philadelphia
"Edward Binns—Philadelphia
"Joey Bishop—Philadelphia
"Larry Bishop—Philadelphia
"Janet Blair—Altoona
"Billy Blanks—Erie
"Marc Blucas—Butler / Girard
"Eleanor Boardman—Philadelphia
"Walter Bobbie—Scranton
"Rudy Bond—Philadelphia
"David Boreanaz—Philadelphia
"Elizabeth Crocker Bowers—Philadelphia
"Christian Bowman—Harrisburg
"Jim Boyd—Philadelphia
"Peter Boyle—Philadelphia
"Laura Breckenridge—Flourtown
"El Brendel—Philadelphia
"David Brenner—Philadelphia
"Al Bridge—Philadelphia
"Fran Brill—Chester
"Charles Bronson—Ehrenfeld
"Scott Martin Brooks—Philadelphia
"Robert Curtis Brown—Bucks County
"Andrew Bryniarski—Philadelphia
"Bobby Burns—Philadelphia
"Edmund Burns—Philadelphia
"Steve Burns—Gilbertsville
"Fritzi Burr—Philadelphia
"Clarissa Burt—Philadelphia
"Eugene Byrd—Philadelphia
"Alexandra Chando—Bethlehem
"Kitty Chen—Philadelphia
"Dennis Christopher—Philadelphia
"Brian Patrick Clarke—Gettysburg
"Caitlin Clarke—Pittsburgh
"Lauren Cohan—Philadelphia
"Jack Coleman—Easton
"Marc Connelly—McKeesport
"Michael Constantine—Reading
"Josh Cooke—Philadelphia
"Bradley Cooper—Philadelphia / Jenkintown
"Ellen Corby—Philadelphia
"Bill Cosby—Philadelphia
"Michael Cornacchia—Philadelphia
"Dolores Costello—Pittsburgh
"Maurice Costello—Pittsburgh
"Erin Cottrell—Yardley
"Broderick Crawford—Philadelphia
"Rebecca Creskoff—Philadelphia
"Pat Crowley—Olyphant
"Jon Daly—Pittsburgh
"John Davidson—Pittsburgh
"Ann B. Davis—Erie
"Bruce Davison—Philadelphia
"John de Lancie—Philadelphia
"Kim Delaney—Roxborough
"Kat Dennings—Bryn Mawr
"Joe DeRosa—Collegeville
"Patti Deutsch—Pittsburgh
"Devon—Hellertown
"Mia Dillon—Newtown Township
"Jack Dodson—Pittsburgh
"John Doman—Philadelphia
"Heather Donahue—Upper Darby
"Omar Doom—Easton
"Ellen Albertini Dow—Mount Carmel
"Lisa Eichhorn—Reading
"Lisa Emery—Pittsburgh
"Chip Esten—Pittsburgh
"Barbara Feldon—Bethel Park
"Tina Fey—Upper Darby
"W.C. Fields—Philadelphia
"Larry Fine—Philadelphia
"Bette Ford—McKeesport
"Meg Foster—Reading
"Matthew Fox—Abington
"Jonathan Frakes—Bellefonte
"Martin Gabel—Philadelphia
"Megan Gallagher—Reading / Wyomissing
"Kyle Gallner—West Chester
"Rita Gam—Pittsburgh
"Billy Gardell—Pittsburgh
"Janet Gaynor—Philadelphia
"Deborah Geffner—Pittsburgh
"Richard Gere—Philadelphia
"Ileen Getz—Bristol
"Todd Glass—Philadelphia
"Scott Glenn—Pittsburgh
"Jeff Goldblum—Pittsburgh
"Eve Gordon—Pittsburgh
"Frank Gorshin—Pittsburgh
"Seth Green—Philadelphia
"Charles Grodin—Pittsburgh
"Jonathan Groff—Lancaster
"Kevin Peter Hall—Pittsburgh
"Charles Hallahan—Philadelphia
