"Alfred Aschenkampff (1858–1914), architect (Latvia)
"Bernhard Bielenstein (1877–1959), architect (Latvia)
"Wilhelm Bockslaff (1858–1945), architect (Latvia)
"Johann Felsko (1813–1902), architect (Latvia)
"Karl Felsko, (1844–1918), architect (Latvia)
"Christoph Haberland (1750–1803), architect (Latvia)
"Otto Pius Hippius (1826–1883), architect (Estonia)
"Erich Jacoby (1885–1941), architect (Estonia)
"Paul Mandelstamm (1872–1941), architect (Latvia)
"Robert Natus (1890–1950), architect (Estonia)
"Robert Pflug (1832–1885), architect (Latvia)
"August Reinberg (1860–1908), architect (Latvia)
"Jacques Rosenbaum (1878–1944), architect (Estonia)
"Alfred Rosenberg (1893–1946), politician, Nazi ideologist and architect (Germany)
"Max Scherwinsky (1859–1909), architect and designer (Latvia)
"Edmund von Trompowsky (1851–1919), architect (Latvia)
"Christian Ackermann (died 1710), wood carver and sculptor (Estonia)
"Johann Heinrich Baumann (1753–1832), painter (Latvia)
"Gregor von Bochmann (1850–1930), painter (Estonia)
"Bernhard Borchert (1863–1945), artist (Latvia)
"Mikhail Clodt (1832–1902), painter (Russia)
"Peter Clodt von Jürgensburg (1805–1867), sculptor (Russia)
"Franz Burchard Dörbeck (1799–1835), graphic artist and caricaturist
"Jacob Heinrich Elbfas (c. 1600 – 1664), painter (Sweden)
"Eduard von Gebhardt (1838–1925), painter
"Wilhelm August Golicke (1802–1848), painter
"Eduard Hau (1807–1888), painter
"Woldemar Hau (1816–1896), painter
"August Matthias Hagen (1794–1878), painter
"Julie Wilhelmine Hagen-Schwarz (1824–1902), painter, daughter of the above
"Vasily Helmersen (1873–1893), artist and book illustrator
"Carl von Hoffman (1889–1982), soldier, adventurer, author, and photographer (United States)
"Franz Hoppenstätt (died 1657 or 1658), wood carver (Estonia)
"George Hoyningen-Huene (1900–1968), fashion photographer
"Alexander Julius Klünder, (1802–1875), portrait painter
"Alexander Kotzebue (1815–1889), painter
"Gerhard von Kügelgen (1772–1820), portrait and history painter
"Karl von Kügelgen (1772–1832), landscape and history painter
"Konstantin von Kügelgen (1810–1880), landscape painter
"Otto Friedrich Theodor von Möller (1812–1874), painter
"Carl Timoleon von Neff (1804–1877), painter (Estonia)
"August Georg Wilhelm Pezold (1794–1859), painter and lithographer
"Nikolaus Roerich (1874-1947), painter and philosopher (Russia)
"Otto Magnus von Stackelberg (1786–1937), archaeologist, writer, art historian and painter
"Egon von Vietinghoff (1903–1994), painter and philosopher (Germany, Switzerland)
"Gottlieb Welté (1745/49–1792), etcher and landscape painter
"Friedrich Amelung (1842–1909), chess player, endgame composer, and journalist
"Werner Bergengruen (1892–1964), novelist
"Lovisa von Burghausen (1698–1733), slave and memoirist (Russia)
"Anton Delvig (1798–1831), poet and journalist (Russia)
"Helene von Engelhardt (1850–1910)
"Nikolai Erdman (1900–1970), poet and playwright (Soviet Union)
