"Squire Boone, frontiersman (Laconia)
"Edd Roush, baseball player (Oakland City)
"Janet Rumsey, baseball player (Moores Hill)
"Amos Rusie, baseball player (Mooresville)
"Jeff Samardzija, baseball player (Valparaiso)
"Everett Scott, baseball player (Bluffton)
"Tim Stoddard, baseball and basketball player (East Chicago)
"Drew Storen, baseball player (Brownsburg)
"Ryan Strausborger, baseball player (Elkhart)
"Eric Stults, baseball player (Argos)
"Walt Terrell, baseball player (Jeffersonville)
"Joe Thatcher, baseball player (Kokomo)
"Tommy Thevenow, baseball player (Madison)
"Sam Thompson, baseball player (Danville)
"Dickie Thon, baseball player (South Bend)
"Pat Underwood, baseball player (Kokomo)
"Tom Underwood, baseball player (Kokomo)
"Ben Van Ryn, baseball player (Kendallville)
"Cory Wade, baseball player (Indianapolis)
"Eric Wedge, baseball player and manager (Fort Wayne)
"Cy Williams, baseball player (Wadena)
"Rollie Zeider, baseball player (Hoover and Garrett)
"Tom Abernethy, basketball player (South Bend)
"Steve Alford, basketball player and coach (New Castle)
"Damon Bailey, basketball player (Heltonville)
"Alison Bales, basketball player (Indianapolis)
"Cliff Barker, basketball player (Yorktown)
"Dick Barnett, basketball player (Gary)
"Jacqueline Batteast, basketball player (South Bend)
"Kent Benson, basketball player (New Castle)
"Larry Bird, basketball player, coach and executive (French Lick)
"Ron Bonham, basketball player (Muncie)
"Vince Boryla, basketball player (East Chicago)
"Jim Bradley, basketball player (East Chicago)
"Junior Bridgeman, basketball player (East Chicago)
"Don Buse, basketball player (Huntingburg)
"Rodney Carney, basketball player (Indianapolis)
"Calbert Cheaney, basketball player (Evansville)
"Mike Conley Jr., basketball player (Indianapolis)
"Louie Dampier, basketball player (Southport)
"Jim Davis, basketball player (Muncie)
"Branden Dawson, basketball player (Gary)
"Skylar Diggins, basketball player (South Bend)
"Terry Dischinger, basketball player (Terre Haute)
"Katie Douglas, basketball player (Indianapolis)
"Steve Downing, basketball player (Indianapolis)
"Jay Edwards, basketball player (Marion)
"Darrell Elston, basketball player (Tipton)
"Brian Evans, basketball player (Terre Haute)
"Yogi Ferrell, basketball player (Indianapolis)
"Tellis Frank, basketball player (Gary)
"Winston Garland, basketball player (Gary)
"Bill Garrett (William Leon Garrett), basketball player (Shelbyville)
"Katie Gearlds, basketball player (Beech Grove)
"Eric Gordon, basketball player (Indianapolis)
"Greg Graham, basketball player (Indianapolis)
"Scott Haffner, basketball player (Terre Haute)
"A.J. Hammons, basketball player (Gary)
"Luke Harangody, basketball player (Schererville)
"Jerome Harmon, basketball player (Gary)
"Gary Harris, basketball player (Fishers)
"Amber Harris, basketball player (Indianapolis)
"Gordon Hayward, basketball player (Brownsburg)
"Alan Henderson, basketball player (Indianapolis)
"George Hill, basketball player (Indianapolis)
"Paul Hoffman, basketball player (Jasper)
"Robbie Hummel, basketball player (Valparaiso)
"Chris Hunter, basketball player (Gary)
"R.J. Hunter, basketball player (Indianapolis)
"Demetrius Jackson, basketball player (South Bend)
"Jared Jeffries, basketball player (Bloomington)
"JaJuan Johnson, basketball player (Indianapolis)
"Bill Keller, basketball player (Indianapolis)
"Shawn Kemp, basketball player (Elkhart)
"Frank Kendrick, basketball player (Indianapolis)
"John Laskowski, basketball player (South Bend)
"Courtney Lee, basketball player (Indianapolis)
"Bobby Leonard, basketball player and coach (Terre Haute)
"Jim Ligon, basketball player (Kokomo)
"Willie Long, basketball player (Fort Wayne)
"Clyde Lovellette, basketball player (Terre Haute)
"Trey Lyles, basketball player (Indianapolis)
"Kyle Macy, basketball player (Peru)
"Dave Magley, basketball player (South Bend)
"Sean May, basketball player (Bloomington)
"Ray McCallum Jr., basketball player (Bloomington)
"Walter McCarty, basketball player (Evansville)
"Mitch McGary, basketball player (Chesterton)
"George McGinnis, basketball player (Indianapolis)
"Jon McGlocklin, basketball player (Franklin)
"Josh McRoberts, basketball player (Carmel)
"John Mengelt, basketball player (Elwood)
"Brad Miller, basketball player (Kendallville)
"Eric Montross, basketball player (Indianapolis)
"E'Twaun Moore, basketball player (East Chicago)
"Rick Mount, basketball player (Lebanon)
"Stretch Murphy, basketball player (Marion)
"Lee Nailon, basketball player (South Bend)
"Craig Neal, basketball player, coach (Washington)
"Greg Oden, basketball player (Indianapolis)
"Andre Owens, basketball player (Indianapolis)
"Ta'Shia Phillips, basketball player (Indianapolis)
"Marshall Plumlee, basketball player (Warsaw)
"Mason Plumlee, basketball player (Warsaw)
"Miles Plumlee, basketball player (Warsaw)
"Zach Randolph, basketball player (Marion)
"Jimmy Rayl, basketball player (Kokomo)
"Ron Reed, baseball and basketball player (LaPorte)
"Ruth Riley, basketball player (Macy)
"Oscar Robertson, basketball player (Indianapolis)
"Glenn Robinson, basketball player (Gary)
"Glenn Robinson III, basketball player (Gary)
"Dave Schellhase, basketball player (Evansville)
"Billy Shepherd, basketball player (Carmel)
"Jerry Sichting, basketball player (Martinsville)
"Scott Skiles, basketball player and coach (Plymouth)
"Larry Steele, basketball player (Greencastle)
"Tim Stoddard, baseball and basketball player (East Chicago)
"Charles "Chuck" Taylor, basketball player, sports shoe pioneer (Brown County)
"Jeff Teague, basketball player (Indianapolis)
"Ray Tolbert, basketball player (Anderson)
"Gene Tormohlen, basketball player (Holland)
"Pete Trgovich, basketball player (East Chicago)
"Dick Van Arsdale, basketball player (Indianapolis)
"Tom Van Arsdale, basketball player (Indianapolis)
"Sharon Versyp, basketball player and coach (Mishawaka)
"Bonzi Wells, basketball player (Muncie)
"Stephanie White, basketball player (Williamsport)
"Randy Wittman, basketball player and coach (Indianapolis)
"Bob Wilkerson, basketball player (Anderson)
"Scott Wood, basketball player (Marion)
"John Wooden, basketball player and coach (Martinsville)
"Mike Woodson, basketball player and coach (Indianapolis)
"Cody Zeller, basketball player (Washington)
"Luke Zeller, basketball player (Washington)
"Tyler Zeller, basketball player (Washington)
"Shanna Zolman, basketball player (Syracuse)
"Steve Alford, basketball coach (New Castle)
