"Leon Askin, actor
"Helmut Berger, actor
"Senta Berger, actress
"Klaus Maria Brandauer, actor
"Käthe Gold, stage actress
"Liane Haid, first Austrian movie star
"Attila Hörbiger, actor
"Christiane Hörbiger, actress
"Paul Hörbiger, actor
"Melanie Kogler, television and theatre actress
"Hedy Lamarr, actress; also co-inventor of spread spectrum radio technology; became U.S. citizen
"Karl Merkatz, actor (most notable for his role as a Viennese in "Mundl")
"Birgit Minichmayr, actress
"Hans Moser, comedy actor
"Reggie Nalder, actor
"Maximilian Schell, actor
"Romy Schneider, actress
"Arnold Schwarzenegger, bodybuilder, actor, became U.S. citizen, governor of the U.S. state of California (2003–2011)
"Erich von Stroheim, actor and film director
"Christoph Waltz, actor
"Oskar Werner, actor
"Maria Auböck, landscape architect
"Bernhard Cella, conceptual artist
"Albin Egger-Lienz, painter
"Karl Ehn, architect, designer of the Karl-Marx-Hof
"Trude Fleischmann, photographer
"Ernst Fuchs, artist
"Xenia Hausner, painter
"Gottfried Helnwein, artist, born in Vienna
"Friedensreich Hundertwasser, artist
"Gustav Klimt, artist, helped found Vienna Secession
"Oskar Kokoschka, painter
"Alfred Kubin, graphic artist
"Adolf Loos, architect, born in Brno (Moravia, present-day Czech Republic)
"Hans Makart, history painter, designer and decorator
"Inge Morath, photographer
"Richard Neutra, architect
"Willy Puchner, photographer
"Arnulf Rainer, painter
"Johann Michael Rottmayr, Baroque painter
"Egon Schiele, painter
"Margarete Schütte-Lihotzky, architect and political activist
"De Es Schwertberger, artist
"Harry Seidler, architect
"Aloys Wach, painter
"Otto Wagner, Jugendstil architect behind much of turn-of-the-century Viennese architecture
"Ferdinand Georg Waldmüller, painter
"Franz West, artist
"Olga Wisinger-Florian, painter
"Wolfgang Ambros, pop musician
"Louie Austen, composer and musician
"Ernst Bachrich, composer and conductor
"Alban Berg, composer
"Alfred Brendel, pianist
"Anton Bruckner, composer
"Carl Czerny, pianist and composer
"Anton Diabelli, publisher, editor and composer
"Carl Ditters von Dittersdorf, composer
"Karlheinz Essl, composer and electronical musician
"Falco, pop musician
"Christian Fennesz, electronic musician
"Bernhard Gál, composer and artist
"Georg Friedrich Haas, composer
"Nikolaus Harnoncourt, conductor
"Joseph Haydn, composer
"Michael Haydn, composer, younger brother of Joseph Haydn
"Udo Jürgens, singer-songwriter
"Herbert von Karajan, conductor
"Bernhard Lang, composer
"Thomas Lang, drummer and composer
"Joseph Lanner, composer
"Left Boy, singer
"Elisabeth Leonskaja, pianist, Austrian Cross of Honour for Science and Art, First Class, in 2006
"Gustav Mahler, composer
"Penny McLean, singer with the disco group Silver Convention
"Wolfgang Amadeus Mozart, musician and composer
"Gerhard Potuznik, electronic musician
"Franz Schmidt, composer
"Arnold Schoenberg, composer
"Franz Schubert, composer and musician
"Sissi Schulmeister, musician with the punk band Alice Donut
"Parov Stelar, electronic musician
"Eduard Strauss, composer
"Johann Strauss, Jr., composer
"Johann Strauss, Sr., composer
"Josef Strauss, composer
"Franz von Suppé, composer
"Anton Webern, composer
"Franz Welser-Möst, conductor
"Hugo Wolf, composer
"Conchita Wurst, pop musician
"Joe Zawinul, jazz musician, composer
"Eric Zeisl (1905–1959) composer
"Alexander von Zemlinsky, composer
"Hannes Androsch, former minister of finance in the government of Bruno Kreisky
"Hikmet Ersek, CEO of The Western Union Company, a Fortune 500 company.
"Ignaz Glaser, entrepreneur
"Gaston Glock, inventor, founder of Glock Ges.m.b.H.
"Niki Lauda, Formula One race car driver and aviation entrepreneur
"Richard Lugner, entrepreneur and society figure
"Dietrich Mateschitz, businessman behind the Red Bull brand
"Ludwig (Louis) von Nathaniel, banker
"Ferdinand Porsche, automotive engineer, designed the Volkswagen (the "people's car"), born in Vratislavice nad Nisou (Austria-Hungary, Bohemia, present-day Czech Republic), 1875–1951
"Ferdinand Anton Ernst Porsche, automotive engineer and entrepreneur, he expanded the sports car manufacturer Porsche AG to what it is now
"Johann Puch, inventor, mechanic, co-founder of Steyr-Daimler-Puch
"Albert Salomon von Rothschild, banker
"Anselm von Rothschild, banker
"Ferdinand James von Rothschild, investor
"Nathaniel Mayer Anselm von Rothschild, banker
"Salomon Mayer von Rothschild, banker
"Robert Schlumberger, entrepreneur
"Frank Stronach, (born in Austria), entrepreneur
"Daniel Swarovski, founder of Swarovski AG, world-famous crystals, born in Jiřetín pod Bukovou, (Bohemia, present-day Czech Republic), 1862–1956
"Barbara Albert, film director, producer and writer
"Franz Antel, director, actor and writer
"Axel Corti, director
"Elfi von Dassanowsky, film producer, singer, pianist
"Andrea Maria Dusl, film director and writer
"Amir Esmann, director, director of photography, writer
"Michael Haneke, film director (born in Germany, however lives and works in Austria)
"Fritz Lang, film director
"Francis Lawrence, Austrian-American film director
"Otto Preminger, film director
"Stefan Ruzowitzky, film director and writer
"Ulrich Seidl, film director and writer
"Josef von Sternberg, film director
"Erich von Stroheim, director
"Wolfgang Suschitzky, director of photography.
"Hans Weingartner, film director, producer and writer
"Virgil Widrich, film director, producer and writer
"Billy Wilder, film director, born in Austria-Hungary
"Fred Zinnemann, film director
"Peter Aufschnaiter, mountaineer and co-traveller of Heinrich Harrer (Seven Years in Tibet)
"Karl Blodig, mountaineer (first to climb all alpine mountains above 4000 m)
"Hermann Buhl, first ascent of Nanga Parbat 1953, first ascent of Broad Peak
"Kurt Diemberger, first ascents of Broad Peak (1957) and Dhaulagiri (1960)
"Peter Habeler, first ascent of Mount Everest without oxygen (together with Reinhold Messner)
"Heinrich Harrer, mountaineer (first ascent of the Carstensz Pyramid) and writer (Seven Years in Tibet)
"Gerlinde Kaltenbrunner, first woman to ascend all eight-thousanders without oxygen (2011)
"Fritz Moravec, first ascent of Gasherbrum II (1956)
"Ludwig Purtscheller, first ascent of Kilimanjaro in 1889
"Marcus Schmuck, first ascent of Broad Peak in 1957 as expedition leader
"Herbert Tichy, geologist, journalist and mountaineer (first ascent of Cho Oyu)
"Luis Trenker, mountaineer, film director and writer (born in the southern part of Tyrol then Austrian-Hungarian)
"Fritz Wintersteller, first ascent of Broad Peak in 1957
"Haim Bar-Lev, Israeli general and government minister
